03.08.2017 09:51:56;03.08.2017 16:56:50;0:07:04:54,3934308
01.01.0001 00:00:00;04.08.2017 12:53:18;736544:12:53:18,5364003
04.08.2017 09:29:00;04.08.2017 13:13:04;0:03:44:04,3574003
